Date,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,BRK.B,UNH,JNJ,V,PG,JPM,XOM,BAC,PFE,HD,MA,KO,DIS,NFLX
9/1/17,0.001105291,0.000353291,-5.22E-05,0.000131876,0.001847012,0.003777649,6.51258097450522e-05,0.001077743,0.000124103,0.000319201,-0.000107725,0.000673767,-0.000909261,0.000877764,-0.00039353,5.48568833495908e-05,0.000536271,-8.97E-05,2.97042851443575e-05,0.001519552
10/3/17,0.000527549,0.000294434,-0.000102659,-0.00036292,0.001275658,0.003413885,0.000169713,0.000900484,0.000161103,0.000211705,-7.06E-05,0.000570271,-0.000690813,0.000699552,-6.98E-05,0.000609197,0.000478497,9.36803113405627e-05,-1.10E-06,0.001215299
11/1/17,0.000541001,0.000223831,-0.000233084,-5.79E-06,0.001105131,0.003360867,0.000160804,0.001052977,0.000374466,0.000245026,-0.000312494,0.000528796,-0.000418882,0.000639339,0.000102525,0.000827159,0.000239838,7.83028865049654e-05,-0.000137103,0.000523987
12/1/17,0.000406608,0.000188673,-0.000236555,0.000173586,0.000798204,0.001496472,8.16847873993916e-05,0.000683686,0.000436331,0.00044664,1.11728948490912e-05,0.000506818,-0.000363802,0.000340986,0.000306798,0.000825251,0.000315675,0.000236259,-3.64E-06,4.9949806451683e-05
1/3/18,5.92451597437674e-05,-8.51E-06,-0.000290868,0.000105741,0.000172296,0.00085284,0.000146787,0.000557687,0.000229987,0.000371511,-1.73E-05,0.000381706,-0.00034719,0.000496716,0.000104368,0.001014324,0.00016309,0.000142074,-4.28E-06,-4.45E-05
2/2/18,-0.00057787,0.000150993,-0.000266095,0.000754196,5.57840632422713e-05,0.000899319,0.000196668,0.000575068,0.000215268,0.000359928,-0.000477815,0.000651315,-0.000358146,0.000718116,7.94287025386024e-05,0.000804231,0.000690569,0.000156408,-0.00039216,0.000953618
3/6/18,6.82539037104111e-06,0.000464336,-9.95E-05,0.001306907,8.7856995570811e-05,0.002164266,7.59254008536276e-05,0.000495628,-0.000336229,0.000340029,-0.000757716,0.000638286,-0.000510621,0.000703477,-0.000236251,0.000295805,0.00091579,-0.000121875,-0.00052973,0.001957742
4/5/18,-8.71E-06,0.000493566,-0.000160101,0.000978391,-0.000832859,0.002002783,0.000215586,0.000842619,-0.000196486,0.00054284,-0.000686165,0.00065573,-0.000483933,0.000650893,-0.000130409,0.000347012,0.001041863,-2.85E-05,-0.000715029,0.001710369
5/4/18,0.000284361,0.000563989,-0.000419035,0.001322752,-0.000678266,0.002382861,0.000159603,0.000802598,-0.000296987,0.00068328,-0.000834571,0.000553029,-0.000405249,0.000466155,-5.05E-05,0.000299285,0.001211287,-0.00027238,-0.000663012,0.001914902
6/5/18,0.000288697,0.000688265,-0.000236291,0.001348988,-0.001510153,0.001278941,4.30041461960211e-05,0.000836444,-0.000531548,0.000735636,-0.000843609,0.000653481,-0.000232135,0.000603439,0.000244429,0.000409127,0.001197713,-0.000358703,-0.000601515,0.00225152
7/5/18,0.000330719,0.000673593,-8.69E-05,0.001239536,-0.001095876,0.000845988,3.52109437430032e-05,0.000731239,-0.000503443,0.000731666,-0.000491165,0.000281092,-7.69E-05,0.000310907,0.000176145,0.00055573,0.001171076,-0.000122543,-0.000304404,0.002724665
8/3/18,0.000429564,0.000755181,0.000185659,0.001565485,-0.000967038,0.000396899,-1.47E-05,0.000648131,-0.000339168,0.000588679,-0.00053143,0.000640662,-0.000300697,0.00066692,0.000476598,0.000517822,0.000944844,-6.50E-05,-0.000212346,0.001439041
